Index,City,State,Population Density (Persons/Square Mile),2016 Population,Area,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",OtherCity,OtherState,County,Zip,Country,Source
37,"Kansas City"," Missouri",1529,481420,315,39.102404,-94.598583,1,place,,,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® dataset from the US Census Bureau"
38,Atlanta," Georgia",3549,472522,133,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
39,"Long Beach"," California",9348,470130,50,33.756024,-118.201101,1,place,,,,,"Long Beach",CA,"Los Angeles County",90802,US,"TIGER/Line® dataset from the US Census Bureau"
40,"Colorado Springs"," Colorado",2391,465101,195,38.828893,-104.809929,1,place,,,,,"Colorado Springs",CO,"El Paso County",80903,US,"TIGER/Line® dataset from the US Census Bureau"
41,Raleigh," North Carolina",3211,458880,143,35.773632,-78.634457,1,place,,,,,Raleigh,NC,"Wake County",27601,US,"TIGER/Line® dataset from the US Census Bureau"
42,Miami," Florida",12645,453579,36,25.558428,-80.458168,1,place,,,,,Miami,FL,"Miami-Dade County",33234,US,"TIGER/Line® dataset from the US Census Bureau"
43,"Virginia Beach"," Virginia",1818,452602,249,36.844004,-76.12036,1,place,,,,,"Virginia Beach",VA,"Virginia Beach City",23450,US,"TIGER/Line® dataset from the US Census Bureau"
44,Omaha," Nebraska",3517,446970,127,41.262003,-95.933564,1,place,,,,,Omaha,NE,"Douglas County",68102,US,"TIGER/Line® dataset from the US Census Bureau"
45,Oakland," California",7528,420005,56,37.786027,-122.223779,1,place,,,,,Oakland,CA,"Alameda County",94601,US,"TIGER/Line® dataset from the US Census Bureau"
46,Minneapolis," Minnesota",7664,413651,54,44.984577,-93.269097,1,place,,,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® dataset from the US Census Bureau"
47,Tulsa," Oklahoma",2049,403090,197,36.063095,-95.804231,1,place,,,,,Tulsa,OK,"Tulsa County",74102,US,"TIGER/Line® dataset from the US Census Bureau"
48,Arlington," Texas",4096,392772,96,32.635563,-97.148829,1,place,,,,,Arlington,TX,"Tarrant County",76001,US,"TIGER/Line® dataset from the US Census Bureau"
49,"New Orleans"," Louisiana",2311,391495,169,29.958304,-90.077,1,place,,,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® dataset from the US Census Bureau"
50,Wichita," Kansas",2448,389902,159,37.651974,-97.258997,1,place,,,,,Wichita,KS,"Sedgwick County",67201,US,"TIGER/Line® dataset from the US Census Bureau"
51,Cleveland," Ohio",4965,385809,78,41.489381,-81.667486,1,place,,,,,Cleveland,OH,"Cuyahoga County",44101,US,"TIGER/Line® dataset from the US Census Bureau"
52,Tampa," Florida",3326,377165,113,27.996097,-82.582035,1,place,,,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
