Index,City,State,Population Density (Persons/Square Mile),2016 Population,Area,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",OtherCity,OtherState,County,Zip,Country,Source
160,Hayward," California",3507,158937,45,37.673946,-122.08482,1,place,,,,,Hayward,CA,"Alameda County",94541,US,"TIGER/Line® dataset from the US Census Bureau"
161,Palmdale," California",1485,157356,106,34.408383,-118.123597,1,place,,,,,Palmdale,CA,"Los Angeles County",93550,US,"TIGER/Line® dataset from the US Census Bureau"
162,Salinas," California",6782,157218,23,36.64152,-121.622188,1,place,,,,,Salinas,CA,"Monterey County",93901,US,"TIGER/Line® dataset from the US Census Bureau"
163,Alexandria," Virginia",10367,155810,15,38.819853,-77.059645,1,place,,,,,Alexandria,VA,"Alexandria City",22301,US,"TIGER/Line® dataset from the US Census Bureau"
164,Lakewood," Colorado",3601,154393,43,39.744773,-105.115977,0.9,place,,,,,Lakewood,CO,"Jefferson County",80215,US,"TIGER/Line® dataset from the US Census Bureau"
165,Springfield," Massachusetts",4834,154074,32,42.170731,-72.604842,1,place,,,,,Springfield,MA,"Hampden County",01101,US,"TIGER/Line® dataset from the US Census Bureau"
166,Pasadena," Texas",3586,153351,43,29.678179,-95.202911,1,place,,,,,Pasadena,TX,"Harris County",77502,US,"TIGER/Line® dataset from the US Census Bureau"
167,Sunnyvale," California",6947,152771,22,37.371647,-122.023153,1,place,,,,,Sunnyvale,CA,"Santa Clara County",94086,US,"TIGER/Line® dataset from the US Census Bureau"
168,Pomona," California",6645,152494,23,34.042286,-117.756106,1,place,,,,,Pomona,CA,"Los Angeles County",91766,US,"TIGER/Line® dataset from the US Census Bureau"
169,Hollywood," Florida",5553,151998,27,26.027459,-80.120219,1,place,,,,,Hollywood,FL,"Broward County",33019,US,"TIGER/Line® dataset from the US Census Bureau"
170,"Kansas City"," Kansas",1216,151709,125,39.103053,-94.630384,1,place,,,,,"Kansas City",KS,"Wyandotte County",66101,US,"TIGER/Line® dataset from the US Census Bureau"
171,Escondido," California",4119,151613,37,33.102005,-117.08042,1,place,,,,,Escondido,CA,"San Diego County",92025,US,"TIGER/Line® dataset from the US Census Bureau"
172,Clarksville," Tennessee",1540,150287,98,36.522633,-87.334932,1,place,,,,,Clarksville,TN,"Montgomery County",37040,US,"TIGER/Line® dataset from the US Census Bureau"
173,Joliet," Illinois",2387,148262,62,41.509668,-88.180211,1,place,,,,,Joliet,IL,"Will County",60431,US,"TIGER/Line® dataset from the US Census Bureau"
174,Rockford," Illinois",2417,147651,61,42.33342,-89.157198,1,place,,,,,Rockford,IL,"Winnebago County",61101,US,"TIGER/Line® dataset from the US Census Bureau"
175,Torrance," California",7187,147195,20,33.835665,-118.303805,1,place,,,,,Torrance,CA,"Los Angeles County",90501,US,"TIGER/Line® dataset from the US Census Bureau"
176,Naperville," Illinois",3795,147122,39,41.759029,-88.152381,1,place,,,,,Naperville,IL,"Dupage County",60540,US,"TIGER/Line® dataset from the US Census Bureau"
177,Paterson," New Jersey",17438,147000,8,40.911999,-74.170965,1,place,,,,,Paterson,NJ,"Passaic County",07501,US,"TIGER/Line® dataset from the US Census Bureau"
178,Savannah," Georgia",1423,146763,103,32.074679,-81.088261,1,place,,,,,Savannah,GA,"Chatham County",31401,US,"TIGER/Line® dataset from the US Census Bureau"
179,Bridgeport," Connecticut",9138,145936,16,41.308873,-73.363661,1,place,,,,,Bridgeport,CT,"Western Connecticut Planning Region",06601,US,"TIGER/Line® dataset from the US Census Bureau"
180,Mesquite," Texas",3123,143736,46,32.777779,-96.62315,1,place,,,,,Mesquite,TX,"Dallas County",75149,US,"TIGER/Line® dataset from the US Census Bureau"
181,Killeen," Texas",2676,143400,54,31.085833,-97.357099,1,place,,,,,Killeen,TX,"Bell County",76540,US,"TIGER/Line® dataset from the US Census Bureau"
182,Syracuse," New York",5726,143378,25,43.02143,-76.197701,1,place,,,,,Syracuse,NY,"Onondaga County",13201,US,"TIGER/Line® dataset from the US Census Bureau"
183,McAllen," Texas",2942,142212,48,26.215816,-98.239592,1,place,,,,,McAllen,TX,"Hidalgo County",78501,US,"TIGER/Line® dataset from the US Census Bureau"
184,Pasadena," California",6185,142059,23,33.786594,-118.298662,1,place,,,,,Pasadena,CA,"Los Angeles County",91050,US,"TIGER/Line® dataset from the US Census Bureau"
185,Bellevue," Washington",4423,141400,32,47.615471,-122.207221,1,place,,,,,Bellevue,WA,"King County",98004,US,"TIGER/Line® dataset from the US Census Bureau"
186,Fullerton," California",6296,140721,22,33.879768,-117.896341,1,place,,,,,Fullerton,CA,"Orange County",92831,US,"TIGER/Line® dataset from the US Census Bureau"
187,Orange," California",5665,140504,25,33.640302,-117.769442,1,place,,,,,Orange,CA,"Orange County",92859,US,"TIGER/Line® dataset from the US Census Bureau"
188,Dayton," Ohio",2525,140489,56,39.750471,-84.268593,1,place,,,,,Dayton,OH,"Montgomery County",45401,US,"TIGER/Line® dataset from the US Census Bureau"
189,Miramar," Florida",4690,138449,30,25.987314,-80.232271,0.9,place,,,,,Miramar,FL,"Broward County",33023,US,"TIGER/Line® dataset from the US Census Bureau"
190,Thornton," Colorado",3924,136703,35,39.868041,-104.971924,0.9,place,,,,,Thornton,CO,"Adams County",80229,US,"TIGER/Line® dataset from the US Census Bureau"
191,"West Valley City"," Utah",3841,136574,36,40.691613,-112.00105,0.8,place,,,,,"West Valley City",UT,"Salt Lake County",84120,US,"TIGER/Line® dataset from the US Census Bureau"
192,Olathe," Kansas",2271,135473,60,38.899901,-94.831991,1,place,,,,,Olathe,KS,"Johnson County",66051,US,"TIGER/Line® dataset from the US Census Bureau"
193,Hampton," Virginia",2634,135410,51,37.072658,-76.38992,1,place,,,,,Hampton,VA,"Hampton City",23630,US,"TIGER/Line® dataset from the US Census Bureau"
194,Warren," Michigan",3930,135125,34,42.474786,-82.995121,1,place,,,,,Warren,MI,"Macomb County",48089,US,"TIGER/Line® dataset from the US Census Bureau"
195,Midland," Texas",1868,134610,72,31.992384,-102.081464,1,place,,,,,Midland,TX,"Midland County",79701,US,"TIGER/Line® dataset from the US Census Bureau"
196,Waco," Texas",1511,134432,89,31.552011,-97.1382,1,place,,,,,Waco,TX,"McLennan County",76701,US,"TIGER/Line® dataset from the US Census Bureau"
197,Charleston," South Carolina",1233,134385,109,32.780326,-79.940844,1,place,,,,,Charleston,SC,"Charleston County",29401,US,"TIGER/Line® dataset from the US Census Bureau"
198,Columbia," South Carolina",1016,134309,132,33.987454,-81.024864,1,place,,,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
199,Denton," Texas",1521,133808,88,33.220974,-97.146038,1,place,,,,,Denton,TX,"Denton County",76201,US,"TIGER/Line® dataset from the US Census Bureau"
200,Carrollton," Texas",3674,133351,36,32.962473,-96.89817,1,place,,,,,Carrollton,TX,"Dallas County",75006,US,"TIGER/Line® dataset from the US Census Bureau"
201,Surprise," Arizona",1255,132677,106,33.640996,-112.37833,1,place,,,,,Surprise,AZ,"Maricopa County",85374,US,"TIGER/Line® dataset from the US Census Bureau"
202,Roseville," California",3663,132671,36,38.74073,-121.25603,1,place,,,,,Roseville,CA,"Placer County",95661,US,"TIGER/Line® dataset from the US Census Bureau"
203,"Sterling Heights"," Michigan",3628,132427,37,42.564395,-83.068475,1,place,,,,,"Sterling Heights",MI,"Macomb County",48310,US,"TIGER/Line® dataset from the US Census Bureau"
204,Murfreesboro," Tennessee",2384,131947,55,35.762951,-86.372158,1,place,,,,,Murfreesboro,TN,"Rutherford County",37127,US,"TIGER/Line® dataset from the US Census Bureau"
205,Gainesville," Florida",2147,131591,61,29.648993,-82.324515,1,place,,,,,Gainesville,FL,"Alachua County",32601,US,"TIGER/Line® dataset from the US Census Bureau"
206,"Cedar Rapids"," Iowa",1852,131127,71,41.976612,-91.657578,1,place,,,,,"Cedar Rapids",IA,"Linn County",52401,US,"TIGER/Line® dataset from the US Census Bureau"
207,Visalia," California",3616,131074,36,36.303793,-119.375646,1,place,,,,,Visalia,CA,"Tulare County",93277,US,"TIGER/Line® dataset from the US Census Bureau"
208,"Coral Springs"," Florida",5467,130059,24,26.265534,-80.263431,0.9,place,,,,,"Coral Springs",FL,"Broward County",33065,US,"TIGER/Line® dataset from the US Census Bureau"
209,"New Haven"," Connecticut",6956,129934,19,41.365709,-72.927507,1,place,,,,,"New Haven",CT,"South Central Connecticut Planning Region",06504,US,"TIGER/Line® dataset from the US Census Bureau"
210,Stamford," Connecticut",3430,129113,38,41.054082,-73.536216,1,place,,,,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"TIGER/Line® dataset from the US Census Bureau"
211,"Thousand Oaks"," California",2342,128888,55,34.212798,-118.882175,1,place,,,,,"Thousand Oaks",CA,"Ventura County",91360,US,"TIGER/Line® dataset from the US Census Bureau"
212,Concord," California",4214,128726,31,37.953672,-122.022872,1,place,,,,,Concord,CA,"Contra Costa County",94518,US,"TIGER/Line® dataset from the US Census Bureau"
213,Elizabeth," New Jersey",10442,128640,12,40.672052,-74.183438,1,place,,,,,Elizabeth,NJ,"Union County",07201,US,"TIGER/Line® dataset from the US Census Bureau"
214,Lafayette," Louisiana",2592,127626,49,30.24171,-91.991044,1,place,,,,,Lafayette,LA,"Lafayette Parish",70501,US,"TIGER/Line® dataset from the US Census Bureau"
215,Kent," Washington",4454,127514,29,47.405479,-122.195772,1,place,,,,,Kent,WA,"King County",98031,US,"TIGER/Line® dataset from the US Census Bureau"
216,Topeka," Kansas",2107,126808,60,38.988075,-95.780662,1,place,,,,,Topeka,KS,"Shawnee County",66601,US,"TIGER/Line® dataset from the US Census Bureau"
217,"Simi Valley"," California",3045,126327,41,34.30873,-118.687222,1,place,,,,,"Simi Valley",CA,"Ventura County",93063,US,"TIGER/Line® dataset from the US Census Bureau"
218,"Santa Clara"," California",6841,125948,18,37.351158,-121.952295,1,place,,,,,"Santa Clara",CA,"Santa Clara County",95050,US,"TIGER/Line® dataset from the US Census Bureau"
219,"Athens-Clarke County"," Georgia",1060,123371,116,33.992902,-83.353697,1,place,,,,,Athens,GA,"Clarke County",30601,US,"TIGER/Line® dataset from the US Census Bureau"
220,Hartford," Connecticut",7091,123243,17,41.791776,-72.718832,1,place,,,,,Hartford,CT,"Capitol Planning Region",06102,US,"TIGER/Line® dataset from the US Census Bureau"
221,Victorville," California",1671,122265,73,34.480247,-117.408186,1,place,,,,,Victorville,CA,"San Bernardino County",92392,US,"TIGER/Line® dataset from the US Census Bureau"
222,Abilene," Texas",1145,122225,107,32.576489,-99.665323,1,place,,,,,Abilene,TX,"Jones County",79601,US,"TIGER/Line® dataset from the US Census Bureau"
223,Norman," Oklahoma",683,122180,179,35.208566,-97.44451,1,place,,,,,Norman,OK,"Cleveland County",73019,US,"TIGER/Line® dataset from the US Census Bureau"
224,Vallejo," California",3955,121299,31,38.18735,-122.224074,1,place,,,,,Vallejo,CA,"Napa County",94589,US,"TIGER/Line® dataset from the US Census Bureau"
225,Berkeley," California",11580,121240,10,37.864425,-122.28713,1,place,,,,,Berkeley,CA,"Alameda County",94702,US,"TIGER/Line® dataset from the US Census Bureau"
226,"Round Rock"," Texas",3544,120892,34,30.501747,-97.647206,1,place,,,,,"Round Rock",TX,"Williamson County",78664,US,"TIGER/Line® dataset from the US Census Bureau"
227,"Ann Arbor"," Michigan",4340,120782,28,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
228,Fargo," North Dakota",2474,120762,49,46.927094,-96.834703,1,place,,,,,Fargo,ND,"Cass County",58102,US,"TIGER/Line® dataset from the US Census Bureau"
229,Columbia," Missouri",1912,120612,63,38.894165,-92.274145,1,place,,,,,Columbia,MO,"Boone County",65201,US,"TIGER/Line® dataset from the US Census Bureau"
230,Allentown," Pennsylvania",6863,120443,18,40.602658,-75.469236,1,place,,,,,Allentown,PA,"Lehigh County",18101,US,"TIGER/Line® dataset from the US Census Bureau"
231,Evansville," Indiana",2706,119477,44,37.997128,-87.574963,1,place,,,,,Evansville,IN,"Vanderburgh County",47701,US,"TIGER/Line® dataset from the US Census Bureau"
232,Beaumont," Texas",1429,118299,83,30.073712,-94.109705,1,place,,,,,Beaumont,TX,"Jefferson County",77701,US,"TIGER/Line® dataset from the US Census Bureau"
233,Odessa," Texas",2810,117871,42,31.765163,-102.354346,1,place,,,,,Odessa,TX,"Ector County",79760,US,"TIGER/Line® dataset from the US Census Bureau"
234,Wilmington," North Carolina",2282,117525,51,34.271985,-77.963628,1,place,,,,,Wilmington,NC,"New Hanover County",28401,US,"TIGER/Line® dataset from the US Census Bureau"
235,Arvada," Colorado",3342,117453,35,39.794822,-105.105292,1,place,,,,,Arvada,CO,"Jefferson County",80002,US,"TIGER/Line® dataset from the US Census Bureau"
236,Independence," Missouri",1509,117030,78,39.107798,-94.409828,1,place,,,,,Independence,MO,"Jackson County",64050,US,"TIGER/Line® dataset from the US Census Bureau"
237,Provo," Utah",2805,116868,42,40.235053,-111.695558,1,place,,,,,Provo,UT,"Utah County",84601,US,"TIGER/Line® dataset from the US Census Bureau"
238,Lansing," Michigan",3218,116020,36,42.599184,-84.371973,1,place,,,,,Lansing,MI,"Ingham County",48901,US,"TIGER/Line® dataset from the US Census Bureau"
239,"El Monte"," California",12114,115807,10,34.078573,-118.043456,1,place,,,,,"El Monte",CA,"Los Angeles County",91731,US,"TIGER/Line® dataset from the US Census Bureau"
240,Springfield," Illinois",1945,115715,59,39.800698,-89.648801,1,place,,,,,Springfield,IL,"Sangamon County",62701,US,"TIGER/Line® dataset from the US Census Bureau"
241,Fairfield," California",3069,114756,37,38.278428,-122.020276,1,place,,,,,Fairfield,CA,"Solano County",94533,US,"TIGER/Line® dataset from the US Census Bureau"
242,Clearwater," Florida",4474,114361,26,27.978147,-82.781523,1,place,,,,,Clearwater,FL,"Pinellas County",33755,US,"TIGER/Line® dataset from the US Census Bureau"
243,Peoria," Illinois",2380,114265,48,40.693137,-89.589847,1,place,,,,,Peoria,IL,"Peoria County",61601,US,"TIGER/Line® dataset from the US Census Bureau"
244,Rochester," Minnesota",2088,114011,55,44.075285,-92.516916,1,place,,,,,Rochester,MN,"Olmsted County",55901,US,"TIGER/Line® dataset from the US Census Bureau"
245,Carlsbad," California",3021,113952,38,33.144219,-117.319439,1,place,,,,,Carlsbad,CA,"San Diego County",92008,US,"TIGER/Line® dataset from the US Census Bureau"
246,Westminster," Colorado",3609,113875,32,39.830822,-105.03747,1,place,,,,,Westminster,CO,"Adams County",80030,US,"TIGER/Line® dataset from the US Census Bureau"
247,"West Jordan"," Utah",3503,113699,32,40.622887,-111.964564,1,place,,,,,"West Jordan",UT,"Salt Lake County",84084,US,"TIGER/Line® dataset from the US Census Bureau"
248,Pearland," Texas",2415,113570,47,29.561554,-95.279739,1,place,,,,,Pearland,TX,"Brazoria County",77581,US,"TIGER/Line® dataset from the US Census Bureau"
249,Richardson," Texas",3969,113347,29,32.962811,-96.726826,1,place,,,,,Richardson,TX,"Dallas County",75080,US,"TIGER/Line® dataset from the US Census Bureau"
250,Downey," California",9127,113267,12,33.786594,-118.298662,1,place,,,,,Downey,CA,"Los Angeles County",90239,US,"TIGER/Line® dataset from the US Census Bureau"
251,"Miami Gardens"," Florida",6202,113058,18,25.558428,-80.458168,1,place,,,,,Miami,FL,"Miami-Dade County",33234,US,"TIGER/Line® dataset from the US Census Bureau"
252,Temecula," California",3750,113054,30,33.752886,-116.055617,1,place,,,,,Temecula,CA,"Riverside County",92589,US,"TIGER/Line® dataset from the US Census Bureau"
253,"Costa Mesa"," California",7209,112822,16,33.678399,-117.911715,1,place,,,,,"Costa Mesa",CA,"Orange County",92626,US,"TIGER/Line® dataset from the US Census Bureau"
254,"College Station"," Texas",2268,112141,49,30.609093,-96.325984,1,place,,,,,"College Station",TX,"Brazos County",77840,US,"TIGER/Line® dataset from the US Census Bureau"
255,Elgin," Illinois",3017,112123,37,42.034492,-88.238396,1,place,,,,,Elgin,IL,"Cook County",60120,US,"TIGER/Line® dataset from the US Census Bureau"
256,Murrieta," California",3326,111674,34,33.548299,-117.344739,1,place,,,,,Murrieta,CA,"Riverside County",92562,US,"TIGER/Line® dataset from the US Census Bureau"
257,Gresham," Oregon",4807,111523,23,45.508117,-122.430233,1,place,,,,,Gresham,OR,"Multnomah County",97030,US,"TIGER/Line® dataset from the US Census Bureau"
258,"High Point"," North Carolina",2067,111223,54,35.954467,-79.987882,1,place,,,,,"High Point",NC,"Guilford County",27260,US,"TIGER/Line® dataset from the US Census Bureau"
259,Antioch," California",3912,110898,28,37.996501,-121.812301,1,place,,,,,Antioch,CA,"Contra Costa County",94509,US,"TIGER/Line® dataset from the US Census Bureau"
260,Inglewood," California",12200,110654,9,33.956526,-118.358654,1,place,,,,,Inglewood,CA,"Los Angeles County",90301,US,"TIGER/Line® dataset from the US Census Bureau"
261,Cambridge," Massachusetts",17316,110651,6,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
262,Lowell," Massachusetts",8141,110558,14,42.656045,-71.303309,1,place,,,,,Lowell,MA,"Middlesex County",01850,US,"TIGER/Line® dataset from the US Census Bureau"
263,Manchester," New Hampshire",3339,110506,33,42.988483,-71.462111,1,place,,,,,Manchester,NH,"Hillsborough County",03101,US,"TIGER/Line® dataset from the US Census Bureau"
264,Billings," Montana",2541,110323,43,45.686966,-108.387392,1,place,,,,,Billings,MT,"Yellowstone County",59101,US,"TIGER/Line® dataset from the US Census Bureau"
265,Pueblo," Colorado",2056,110291,54,38.293234,-104.536493,1,place,,,,,Pueblo,CO,"Pueblo County",81001,US,"TIGER/Line® dataset from the US Census Bureau"
266,"Palm Bay"," Florida",1676,110104,66,28.031367,-80.600412,1,place,,,,,"Palm Bay",FL,"Brevard County",32905,US,"TIGER/Line® dataset from the US Census Bureau"
267,Centennial," Colorado",3828,109932,29,39.62732,-104.779035,0.9,place,,,,,Centennial,CO,"Arapahoe County",80015,US,"TIGER/Line® dataset from the US Census Bureau"
268,Richmond," California",3652,109813,30,37.947523,-122.384032,1,place,,,,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
269,"San Buenaventura"," California",5062,109592,22,34.278335,-119.293168,0.8,place,,,,,"San Buenaventura",CA,"Ventura County",93001,US,"TIGER/Line® dataset from the US Census Bureau"
270,"Pompano Beach"," Florida",4558,109393,24,26.234772,-80.120584,1,place,,,,,"Pompano Beach",FL,"Broward County",33060,US,"TIGER/Line® dataset from the US Census Bureau"
271,"North Charleston"," South Carolina",1493,109298,73,32.853019,-79.991295,1,place,,,,,"North Charleston",SC,"Charleston County",29405,US,"TIGER/Line® dataset from the US Census Bureau"
272,Everett," Washington",3260,109043,33,47.988661,-122.199795,1,place,,,,,Everett,WA,"Snohomish County",98201,US,"TIGER/Line® dataset from the US Census Bureau"
273,Waterbury," Connecticut",3796,108272,29,41.556461,-73.045886,1,place,,,,,Waterbury,CT,"Naugatuck Valley Planning Region",06702,US,"TIGER/Line® dataset from the US Census Bureau"
274,"West Palm Beach"," Florida",1956,108161,55,26.715844,-80.070249,1,place,,,,,"West Palm Beach",FL,"Palm Beach County",33401,US,"TIGER/Line® dataset from the US Census Bureau"
275,Boulder," Colorado",4383,108090,25,40.049468,-105.201421,1,place,,,,,Boulder,CO,"Boulder County",80301,US,"TIGER/Line® dataset from the US Census Bureau"
276,"West Covina"," California",6724,107847,16,34.066964,-117.937007,1,place,,,,,"West Covina",CA,"Los Angeles County",91790,US,"TIGER/Line® dataset from the US Census Bureau"
277,"Broken Arrow"," Oklahoma",1744,107403,62,35.986399,-95.818064,1,place,,,,,"Broken Arrow",OK,"Tulsa County",74011,US,"TIGER/Line® dataset from the US Census Bureau"
278,Clovis," California",4578,106583,23,36.825296,-119.68019,1,place,,,,,Clovis,CA,"Fresno County",93611,US,"TIGER/Line® dataset from the US Census Bureau"
279,"Daly City"," California",13900,106472,8,37.687509,-122.438783,1,place,,,,,"Daly City",CA,"San Mateo County",94014,US,"TIGER/Line® dataset from the US Census Bureau"
280,Lakeland," Florida",1630,106420,65,28.035908,-81.899669,1,place,,,,,Lakeland,FL,"Polk County",33801,US,"TIGER/Line® dataset from the US Census Bureau"
281,"Santa Maria"," California",4670,106290,23,34.875832,-120.340795,1,place,,,,,"Santa Maria",CA,"Santa Barbara County",93454,US,"TIGER/Line® dataset from the US Census Bureau"
282,Norwalk," California",10935,106178,10,33.906763,-118.076549,1,place,,,,,Norwalk,CA,"Los Angeles County",90650,US,"TIGER/Line® dataset from the US Census Bureau"
283,"Sandy Springs"," Georgia",2808,105703,38,33.924269,-84.378538,1,place,,,,,"Sandy Springs",GA,"Fulton County",30328,US,"TIGER/Line® dataset from the US Census Bureau"
284,Hillsboro," Oregon",4400,105164,24,45.458397,-122.977963,1,place,,,,,Hillsboro,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
285,"Green Bay"," Wisconsin",2312,105139,45,44.480778,-88.016063,1,place,,,,,"Green Bay",WI,"Brown County",54301,US,"TIGER/Line® dataset from the US Census Bureau"
286,Tyler," Texas",1946,104798,54,32.321937,-95.302223,1,place,,,,,Tyler,TX,"Smith County",75701,US,"TIGER/Line® dataset from the US Census Bureau"
287,"Wichita Falls"," Texas",1452,104724,72,33.905544,-98.479881,1,place,,,,,"Wichita Falls",TX,"Wichita County",76301,US,"TIGER/Line® dataset from the US Census Bureau"
288,Lewisville," Texas",2875,104659,36,33.20743,-97.116282,1,place,,,,,Lewisville,TX,"Denton County",75029,US,"TIGER/Line® dataset from the US Census Bureau"
289,Burbank," California",6023,104447,17,34.200993,-118.292773,1,place,,,,,Burbank,CA,"Los Angeles County",91501,US,"TIGER/Line® dataset from the US Census Bureau"
290,Greeley," Colorado",2234,103990,47,40.384991,-104.680631,1,place,,,,,Greeley,CO,"Weld County",80631,US,"TIGER/Line® dataset from the US Census Bureau"
291,"San Mateo"," California",8570,103959,12,37.573485,-122.32253,1,place,,,,,"San Mateo",CA,"San Mateo County",94401,US,"TIGER/Line® dataset from the US Census Bureau"
292,"El Cajon"," California",7191,103768,14,32.776012,-116.880634,1,place,,,,,"El Cajon",CA,"San Diego County",92019,US,"TIGER/Line® dataset from the US Census Bureau"
293,Rialto," California",4623,103314,22,34.111606,-117.377406,1,place,,,,,Rialto,CA,"San Bernardino County",92376,US,"TIGER/Line® dataset from the US Census Bureau"
294,Davenport," Iowa",1630,102612,63,41.521038,-90.574849,1,place,,,,,Davenport,IA,"Scott County",52801,US,"TIGER/Line® dataset from the US Census Bureau"
295,"League City"," Texas",1989,102010,51,29.496451,-95.052262,1,place,,,,,"League City",TX,"Galveston County",77573,US,"TIGER/Line® dataset from the US Census Bureau"
296,Davie," Florida",2920,101871,35,26.067529,-80.275056,0.9,place,,,,,Davie,FL,"Broward County",33328,US,"TIGER/Line® dataset from the US Census Bureau"
297,"Las Cruces"," New Mexico",1330,101759,76,32.290052,-106.753893,1,place,,,,,"Las Cruces",NM,"Doña Ana County",88001,US,"TIGER/Line® dataset from the US Census Bureau"
298,"South Bend"," Indiana",2454,101735,41,41.673383,-86.251654,1,place,,,,,"South Bend",IN,"St. Joseph County",46601,US,"TIGER/Line® dataset from the US Census Bureau"
299,Vista," California",5442,101659,19,33.19784,-117.248203,1,place,,,,,Vista,CA,"San Diego County",92083,US,"TIGER/Line® dataset from the US Census Bureau"
300,Renton," Washington",4366,100953,23,47.446982,-122.201521,1,place,,,,,Renton,WA,"King County",98055,US,"TIGER/Line® dataset from the US Census Bureau"
301,"San Angelo"," Texas",1771,100702,57,31.44451,-100.533397,1,place,,,,,"San Angelo",TX,"Tom Green County",76901,US,"TIGER/Line® dataset from the US Census Bureau"
302,Roanoke," Virginia",2342,99660,43,37.274175,-79.95786,1,place,,,,,Roanoke,VA,"Roanoke City",24003,US,"TIGER/Line® dataset from the US Census Bureau"
303,Kenosha," Wisconsin",3700,99631,27,42.622449,-87.830375,1,place,,,,,Kenosha,WI,"Kenosha County",53140,US,"TIGER/Line® dataset from the US Census Bureau"
304,Tuscaloosa," Alabama",1653,99543,60,33.170238,-87.616169,1,place,,,,,Tuscaloosa,AL,"Tuscaloosa County",35401,US,"TIGER/Line® dataset from the US Census Bureau"
305,Allen," Texas",3772,99179,26,33.089587,-96.607767,1,place,,,,,Allen,TX,"Collin County",75002,US,"TIGER/Line® dataset from the US Census Bureau"
306,Erie," Pennsylvania",5167,98593,19,42.121293,-80.088919,1,place,,,,,Erie,PA,"Erie County",16501,US,"TIGER/Line® dataset from the US Census Bureau"
307,Sparks," Nevada",2750,98345,36,39.540398,-119.749111,1,place,,,,,Sparks,NV,"Washoe County",89431,US,"TIGER/Line® dataset from the US Census Bureau"
308,Vacaville," California",3465,98303,28,38.333133,-121.920151,1,place,,,,,Vacaville,CA,"Solano County",95687,US,"TIGER/Line® dataset from the US Census Bureau"
309,Albany," New York",4587,98111,21,42.614852,-73.970812,1,place,,,,,Albany,NY,"Albany County",12201,US,"TIGER/Line® dataset from the US Census Bureau"
310,Beaverton," Oregon",5210,97590,19,45.496289,-122.800146,1,place,,,,,Beaverton,OR,"Washington County",97005,US,"TIGER/Line® dataset from the US Census Bureau"
311,Compton," California",9745,97550,10,33.874815,-118.240208,1,place,,,,,Compton,CA,"Los Angeles County",90220,US,"TIGER/Line® dataset from the US Census Bureau"
312,Orem," Utah",5331,97499,18,40.311353,-111.72496,1,place,,,,,Orem,UT,"Utah County",84057,US,"TIGER/Line® dataset from the US Census Bureau"
313,Flint," Michigan",2914,97386,33,42.965926,-83.780835,1,place,,,,,Flint,MI,"Genesee County",48501,US,"TIGER/Line® dataset from the US Census Bureau"
314,"Federal Way"," Washington",4347,96757,22,47.307713,-122.315773,1,place,,,,,"Federal Way",WA,"King County",98003,US,"TIGER/Line® dataset from the US Census Bureau"
315,"Mission Viejo"," California",5434,96396,18,33.605527,-117.667923,1,place,,,,,"Mission Viejo",CA,"Orange County",92691,US,"TIGER/Line® dataset from the US Census Bureau"
316,"Spokane Valley"," Washington",2551,96340,38,47.66264,-117.435997,1,place,,,,,Spokane,WA,"Spokane County",99201,US,"TIGER/Line® dataset from the US Census Bureau"
317,"Boca Raton"," Florida",3277,96114,29,26.348017,-80.218991,1,place,,,,,"Boca Raton",FL,"Palm Beach County",33428,US,"TIGER/Line® dataset from the US Census Bureau"
318,"Lee's Summit"," Missouri",1517,96076,63,38.911994,-94.351673,1,place,,,,,"Lees Summit",MO,"Jackson County",64063,US,"TIGER/Line® dataset from the US Census Bureau"
319,"Rio Rancho"," New Mexico",929,96028,103,35.268498,-106.783682,1,place,,,,,"Rio Rancho",NM,"Sandoval County",87124,US,"TIGER/Line® dataset from the US Census Bureau"
320,Sandy," Utah",4190,95836,23,40.577106,-111.889047,1,place,,,,,Sandy,UT,"Salt Lake County",84070,US,"TIGER/Line® dataset from the US Census Bureau"
321,Brockton," Massachusetts",4483,95630,21,42.079399,-71.03999,1,place,,,,,Brockton,MA,"Plymouth County",02301,US,"TIGER/Line® dataset from the US Census Bureau"
322,Meridian," Idaho",3569,95623,27,43.579067,-116.421656,1,place,,,,,Meridian,ID,"Ada County",83642,US,"TIGER/Line® dataset from the US Census Bureau"
323,"South Gate"," California",13196,95538,7,33.937714,-118.193403,1,place,,,,,"South Gate",CA,"Los Angeles County",90280,US,"TIGER/Line® dataset from the US Census Bureau"
324,Lawrence," Kansas",2841,95358,34,39.023294,-95.208909,1,place,,,,,Lawrence,KS,"Douglas County",66044,US,"TIGER/Line® dataset from the US Census Bureau"
